,Parea,AvgWid,MaxDep,Alt,Cnd,pH,Fluct,Species,ComaPal,RanuRep,AlisPla,LemnMin
1,0.973183244,1,0.757533348,0.059312544,0.575363935,0.929076142,0,10,0,1,0,0
2,0.536512015,1,0.377007803,0.003882239,0.948421584,0.766743232,0,1,0,1,0,1
3,0.560088462,0.560859647,0.293882996,0.546972312,0.220079975,0.358650774,0,53,0,0,0,0
4,0.731877232,0.130095142,0.635784445,0.547351301,0.20348704,0.520246231,0,36,0,0,0,0
5,0.589744352,0.666382941,0.257797952,1,0.124442934,0.150967343,1,1,1,0,0,0
6,0.573031497,0.199532751,0.535384616,0.920083449,0.362402353,0.481652278,1,2,0,0,0,1
7,0.495707281,0.387341068,0.547936158,0.677268586,0.624758843,1,0,10,0,0,1,1
8,0.653665962,0.611881055,0.775993209,0.437811946,0.230598047,0.367588287,0,1,0,0,1,1
9,0.65285843,0.225905871,0.599003063,0.434860758,0.245640401,0.345199537,1,40,1,0,1,1
10,0.265066612,0.225905871,0.733784287,0.550140788,0.362402353,0.433868608,1,3,0,0,0,0
11,0.395728419,0.924193403,0.195080533,0.602606281,0.197719965,0.16047696,2,14,0,1,1,1
12,0.431399125,0.560859647,0.407784248,0.266464412,0.56220171,0.451323624,1,1,1,0,1,1
13,0.215518461,0.426525727,0.430046455,0.645969238,0,0.103009161,0,1,0,0,0,0
14,0.435407734,0.560859647,0.676048889,0.646186976,0.023314896,0.165221642,1,6,0,1,1,0
15,0.465793591,0.090879264,0.736194151,0.70745254,0.408668799,0.468687965,0,2,0,0,1,1
16,0.013622451,0.151731504,0.219842278,0.757704416,0.518332661,0.55839966,1,5,0,1,1,0
17,0.265066612,0.073128912,0.289468412,0.712354016,0.34614,0.188844553,1,4,0,0,1,1
18,0.24005388,0.513096454,0.516144494,0.70384609,0.82966049,0.481652278,1,1,0,0,0,1
19,0.543247773,0.090879264,0.538542727,0.59705684,0.593304081,0.473014992,1,16,0,1,0,1
20,0.717938477,0.72460273,0.881886665,0.598805774,0.083119652,0.083631553,2,10,0,0,0,0
21,0.411440768,0.666382941,0.538542727,0.700318402,0.166864778,0.29540998,2,10,0,0,1,1
22,0,0.026394132,0.285027055,0.948769201,0.565182944,0.507431028,2,6,0,1,0,1
23,0.351420972,0.786794042,0.51938649,0.854999642,0.507527275,0.549958675,0,10,0,0,0,1
24,0.457779649,0.254078061,0.590246136,0.902204678,0.220079975,0.01986709,1,17,0,0,0,0
25,0.658438,0.350658733,0.897494131,0.903699349,0.166864778,0.394258333,3,1,0,0,1,0
26,0.134329948,0.387341068,0.280558598,0.944278882,1,0.179415413,2,12,0,0,0,1
27,0.479808251,0,0.404007185,0.943848002,0.436402339,0.537257097,1,17,0,1,1,1
28,0.730821412,0.853227799,0.74812594,0.894877839,0.17963562,0.136651998,0,10,0,0,1,1
29,0.424517385,0.199532751,0.476077994,0.887097817,0.108668713,0,0,43,1,0,0,1
30,0.573031497,0.560859647,0,0.84410817,0.827438191,0.746882045,0,1,0,0,0,1
31,0.654068401,0.611881055,0.39639411,0.883404881,0.527016259,0.451323624,1,1,0,0,1,1
32,0.438032356,0.853227799,0.641282674,0.84225532,0.286286413,0.498860182,2,3,0,0,1,1
33,0.792143042,1,0.581383228,0.373646341,0.740586795,0.813934058,3,19,0,0,0,0
34,0.524706054,0.853227799,0.361120567,0.278366668,0.64860004,0.852757119,3,1,0,0,0,1
35,0.463539342,0.560859647,0.541687277,0.366200208,0.684158121,0.455673173,2,15,0,0,0,1
36,0.895518561,1,0.925890764,0.366200208,0.644219172,0.678457409,0,4,0,0,0,1
37,0.466910427,0.666382941,0.404007185,0.47648108,0.445816574,0.40751398,0,2,1,0,0,0
38,0.531880271,1,0.315565353,0.692525179,0.97512648,0.750863734,3,6,0,0,0,1
39,0.828956806,1,0.1040169,0.696539525,0.838905185,0.762780424,0,25,0,0,0,1
40,0.854956156,0.799732411,0.764510439,0.692624354,0.951601521,0.917738784,2,22,0,0,1,1
41,0.369311124,0.109840474,0.293882996,0.696721136,0.939017596,0.746882045,1,11,0,0,0,1
42,0.943858862,1,0.996635961,0.748557358,0.958878037,0.97404491,2,30,0,0,0,0
43,0.434081226,0.666382941,0.469181826,0.274962155,0.671494269,0.746882045,0,2,1,0,0,1
44,0.575514169,0.560859647,0.493039545,0.399018423,0.419088336,0.481652278,0,3,0,0,1,1
45,0.281053694,0.611881055,0,0.396627885,0.209132784,0.249494038,0,2,0,0,0,0
46,0.605586896,0.560859647,0.262407024,0.415867798,0.509358657,0.340703735,1,9,0,0,1,1
47,0.661165497,0.316318923,0.575414466,0.413488688,0.678387428,0.670314584,1,5,0,0,1,1
48,0.635914325,0.040956423,0.593176762,0.413524476,0.66949183,0.698728108,3,1,0,0,1,1
49,0.548321114,1,0.336624171,0.413882336,0.701653983,0.746882045,2,0,0,0,0,1
50,0.684727466,0.72460273,0.433691906,0.412235877,0.747438245,0.71887662,3,0,0,0,0,1
51,0.47772052,0.199532751,0.613369194,0.412396978,0.757760084,0.758812913,2,1,0,0,1,1
52,0.564068009,0.513096454,0.529027242,0.412343279,0.723063304,0.515979953,3,4,0,0,1,1
53,0.466910427,0.611881055,0.384824016,0.412038967,0.706074669,0.520246231,2,12,0,0,1,1
54,0.662322141,0.426525727,0.590246136,0.412790748,0.661329229,0.662151874,0,1,0,0,0,1
55,0.756934181,0.254078061,0.800638884,0.413130787,0.512984349,0.55839966,0,2,0,0,0,1
56,0.365483376,0.853227799,0.458714263,0,0.672489912,0.666235721,1,5,0,0,0,1
57,0.448171209,0.426525727,0.535384616,0.395297107,0.321578231,0.304517964,1,12,0,0,1,1
58,0.104863939,0.254078061,0.092519165,0.387590281,0.559186984,0.794352116,2,2,0,0,0,1
59,0.290018098,0.130095142,0.832963402,0.277399601,0.298573317,0.389828077,0,1,0,0,1,1
60,0.949096401,0.924193403,1,0.285945217,0.273409846,0.29540998,3,9,0,0,1,1
61,0.451833517,0.513096454,0.392557687,0.272429888,0.225390538,0.240234675,1,9,0,0,1,1
62,1,0.924193403,0.7067388,0.266595015,0.773900184,0.633424385,0,1,0,0,1,1
63,0.232233925,0.513096454,0.44809491,0.271852425,0.509358657,0.244867563,2,1,0,0,0,1
64,0.395728419,0.387341068,0.7067388,0.281210538,0.56220171,0.380949909,0,27,0,0,1,1
