Stand,Betupub,Piceabi,Sorbauc,Vaccmyr,Vaccvit,Athyfil,Cornsue,Dryoexp,Gymndry,Linnabor,Lycoann,Maiabif,Melapra,Solivir,Thelphe,Trieeur,Calapur,Carebru,Descfle,Luzupil,Molicer,Bracref,Bracsta,Dicrfus,Dicrmaj,Dicrmon,Dicrsco,Hyloumb,Hylospl,Plagden,Plaglae,Plagund,Pleusch,Pohlnut,Polycom,Polyfor,Polyjun,Rhodros,Rhytlor,Rhytsub,Tetrpel,Tetrmno,Sphagir,Sphaqui,Spharus,Barbatt,Barbbar,Barbflo,Barblyc,Bleptri,Calyazu,Calyint,Calymue,Calynee,Cephbic,Cephleu,Cephlun,Cephdiv,Chilpro,Dipltax,Lepirep,Lophobt,Lophsud,Lophven,Ptilcil,Ptilpul,Cetrisl,Cladchl,Cladcon,Cladcor,Claddef,Cladfur,Cladgra,Cladsul
1,0,2,6,16,6,0,0,0,0,4,4,0,0,0,0,6,0,0,16,0,0,3,0,5,6,0,8,0,7,1,10,0,4,1,0,15,0,0,0,0,4,0,15,0,0,6,0,0,4,0,0,0,0,0,0,0,3,0,6,0,0,3,0,4,2,0,0,3,4,0,0,0,0,0
1,0,0,3,16,2,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,7,0,0,0,10,0,0,0,0,9,0,0,0,0,8,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,6,1,0,0,0,0,0
1,0,3,0,16,16,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,2,0,5,0,0,6,0,0,0,15,0,5,0,0,15,0,0,0,0,2,0,0,0,0,8,0,2,13,1,0,4,0,0,0,0,5,0,2,1,0,0,0,3,0,0,0,5,3,0,0,0,0,0
1,0,1,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,10,0,1,5,0,0,0,16,0,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,13,0,0,0,0,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,2,15,0,0,0,0,0,0,0,0,0,0,0,4,0,0,16,0,0,6,0,4,1,0,13,0,0,0,14,0,0,0,0,16,0,0,0,0,1,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,10,0,11,1,0,0,0,1,6,0,0,2,2,0,0,0,0,0
1,0,0,1,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,0,15,0,0,16,0,0,0,13,0,0,0,0,9,0,0,0,0,7,0,0,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,15,1,0,0,0,11,2,0,0,8,6,0,0,0,0,0
1,0,0,3,16,0,0,0,5,0,0,0,0,0,0,0,9,0,0,15,0,0,0,0,12,2,0,14,0,0,0,14,0,2,0,0,13,0,0,0,0,3,0,0,0,0,4,0,0,6,0,0,3,0,4,0,0,6,0,14,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0
1,0,10,2,16,10,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,12,0,0,12,0,0,0,4,0,0,0,0,11,0,0,0,0,10,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,5,0,0,0,2,0,0,9,0,0,0,2,0,0,0,0,0,0
1,0,0,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,6,9,0,13,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,10,4,0,13,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,5,3,8,14,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,16,0,6,15,0,0,0,4,0,1,0,0,1,0,0,0,0,8,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
1,0,0,1,16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,3,12,0,16,0,0,0,3,0,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,4,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,12,0,0,15,0,0,0,5,0,10,0,0,7,0,0,0,0,1,0,0,0,0,5,0,2,14,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,5,0,0,12,6,0,1,1,4,4
1,0,0,4,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,12,7,0,10,0,0,0,1,0,0,0,0,16,0,0,0,0,2,0,0,0,0,10,0,5,13,0,0,0,0,0,0,0,4,0,2,0,3,0,0,6,0,0,0,1,0,0,0,0,0,0
1,0,0,5,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,15,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0
1,0,0,0,16,2,0,2,0,0,0,0,2,1,0,0,0,0,0,16,0,6,8,0,0,0,0,16,0,10,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0
1,0,0,0,16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,16,0,0,11,0,0,0,0,16,5,6,0,2,0,16,0,0,2,0,0,0,0,0,0,0,0,0,0,1,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1,0,0,1,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,2,13,0,15,0,0,0,2,0,4,3,0,9,1,0,0,0,2,0,0,2,0,4,0,0,8,0,0,2,0,0,0,0,1,2,0,0,0,0,0,2,0,3,0,3,1,0,0,0,0,0
1,7,1,1,16,0,0,0,0,0,0,0,0,3,1,0,6,0,0,16,0,0,0,0,0,6,0,15,0,11,0,2,0,11,0,2,15,0,0,0,0,0,0,0,0,1,2,0,2,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,3,0,0,16,5,0,1,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,11,0,14,5,8,0,9,0,15,0,0,6,0,0,0,0,2,0,0,0,0,4,0,7,15,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1,1,0,4,16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,16,11,0,0,0,1,0,0,10,1,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,16,0,0,0,0,0,0,3,5,0,0,0,3,0,0,13,0,0,0,0,0,15,0,9,0,8,0,3,0,14,0,0,10,0,0,14,0,0,0,0,0,0,0,0,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0
1,0,0,7,16,1,0,0,6,0,0,0,2,0,0,0,3,0,0,16,0,0,0,0,2,12,0,11,0,0,0,5,0,3,0,0,15,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
2,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,5,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,12,15,0,0,0,10,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,5,8,0,6,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,8,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2,0,0,10,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,13,1,3,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,6,0,16,9,0,0,1,0,6,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,15,0,0,0,14,0,8,0,0,9,0,0,0,0,0,0,0,0,0,2,0,2,3,0,0,1,0,0,1,0,2,0,2,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0
2,0,2,3,16,3,0,0,7,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,7,2,0,14,0,2,0,16,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2,0,0,2,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,5,0,0,15,0,0,0,15,0,13,0,0,16,0,0,0,0,1,0,0,0,0,0,0,3,10,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,4,3,5,9,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,14,16,8,0,0,1,0,0,3,0,0,0,0,0,0,0,15,0,0,0,0,0,5,0,13,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,3,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,1,7,0,16,2,9,0,9,0,10,0,0,7,0,0,0,0,0,0,0,0,0,8,0,2,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
2,0,1,2,16,0,0,0,6,0,10,0,1,0,0,0,1,0,0,16,0,0,0,0,5,5,0,15,0,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,16,0,0,0,3,0,0,0,0,0,0,0,5,0,0,16,0,0,10,0,1,7,0,11,11,2,0,13,0,8,0,0,16,0,0,0,0,0,0,0,0,0,8,0,6,14,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,2,16,6,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0,15,0,10,0,11,0,2,0,13,0,0,16,0,0,1,0,0,0,14,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,3,13,0,13,0,0,0,6,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,4,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,16,0,0,0,0,5,0,0,14,0,13,0,7,0,13,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
2,0,0,3,16,0,0,0,0,0,0,7,1,0,0,0,0,0,0,16,0,0,1,0,4,10,0,8,0,0,0,10,0,8,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,7,16,0,0,0,1,0,0,7,2,0,0,0,9,0,0,16,0,0,14,0,0,10,0,14,3,0,0,0,0,10,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,11,14,0,0,0,4,0,0,0,7,0,0,0,2,0,0,16,0,0,2,0,5,6,0,13,0,2,0,3,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,12,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,16,0,0,0,6,0,0,1,0,0,0,0,9,0,0,16,0,0,1,0,0,1,0,1,9,0,0,4,0,1,0,5,8,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,4,16,0,1,0,7,0,0,0,0,0,0,0,13,0,0,16,0,0,2,0,2,0,0,1,0,5,0,4,0,0,0,14,16,0,0,0,6,0,0,14,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,7,16,0,0,0,1,0,10,0,3,0,0,0,14,0,0,16,0,0,0,0,0,16,0,3,0,0,0,0,0,16,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,7,16,0,0,0,0,0,0,0,4,0,0,0,0,0,0,16,0,0,0,0,12,1,0,16,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,10,4,0,13,0,0,0,9,0,0,0,0,11,0,0,0,0,0,0,11,0,0,0,0,0,6,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,4,14,0,0,0,0,0,0,0,3,0,0,0,8,0,0,16,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,13,1,0,0,0,0,0,0,16,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,0,3,9,11,0,0,0,5,0,0,0,1,0,0,5,0,0,0,5,0,0,0,0,5,0,0,12,0,0,0,6,0,0,0,0,12,0,0,0,0,6,0,11,0,0,0,0,0,0,0,5,7,5,0,5,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
3,0,2,5,15,0,0,0,12,0,1,11,0,0,0,1,6,1,0,4,0,0,0,0,7,3,1,16,0,0,0,5,0,15,0,3,9,0,0,0,0,1,0,2,0,0,11,0,7,10,0,0,0,4,0,0,1,0,3,7,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0
3,0,0,1,13,0,0,0,6,0,0,7,1,0,0,0,3,1,0,6,0,0,4,0,6,0,0,13,0,0,0,13,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0
3,0,0,0,16,8,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,4,1,6,0,0,16,7,0,0,13,0,3,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,1,0,4,0,0,0,0,0,0
3,0,0,3,16,3,0,0,3,0,0,5,3,0,0,0,0,0,0,13,0,0,0,0,3,0,0,16,0,0,1,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,2,7,0,0,0,1,0,2,5,0,0,0,0,0,0,0,14,0,0,0,0,1,3,0,10,0,0,0,3,0,3,0,0,16,0,0,0,0,2,0,4,0,0,1,0,3,0,0,0,1,3,0,0,0,3,0,2,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0
3,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,15,0,0,0,3,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0
3,0,0,0,12,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,16,0,5,0,0,0,2,0,0,0,0,16,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
3,0,0,2,12,0,0,0,2,0,0,3,1,0,0,0,0,0,0,3,0,0,0,0,5,3,0,11,0,0,0,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,5,3,1,7,0,5,0,4,0,7,0,7,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0
3,1,0,1,7,1,0,0,7,0,0,4,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,16,5,0,0,6,0,2,0,0,6,0,0,0,0,2,0,0,0,0,4,0,0,15,1,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,0,0,1,13,0,0,0,1,0,0,3,0,0,0,0,0,0,0,15,0,0,0,0,1,3,0,9,0,0,0,5,0,3,0,0,11,0,0,6,0,0,0,5,0,0,1,0,0,2,0,0,0,0,0,2,0,1,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
3,0,1,1,2,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,0,1,3,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
3,0,0,2,16,11,0,0,9,0,0,4,0,0,0,0,0,0,0,7,0,0,1,0,14,1,0,16,0,0,0,11,0,14,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,1,0,0,0,2,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
3,0,0,1,16,10,0,0,0,0,0,4,0,0,0,6,0,0,0,14,0,0,0,0,2,2,0,6,0,0,0,2,0,0,0,0,10,0,0,1,0,0,0,15,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0
3,0,0,4,12,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,14,0,0,16,0,0,7,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,6,15,0,0,0,12,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,10,0,0,16,0,0,0,3,0,2,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,2,14,0,0,0,2,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,3,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,16,0,0,0,0,0,0,6,0,0,0,0,0,0,0,16,0,0,1,0,0,5,0,4,0,0,0,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,5,15,2,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,11,7,0,13,0,0,0,5,0,1,0,0,10,0,0,0,0,5,0,0,0,0,3,0,4,1,3,0,2,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
3,0,0,6,10,0,0,0,1,0,0,0,0,0,0,0,2,0,0,15,0,0,0,0,0,0,0,15,0,0,0,8,0,0,0,0,16,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,3,10,0,16,0,0,0,0,0,13,0,0,16,0,0,0,0,0,0,0,0,0,13,0,0,16,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,0,0,5,11,0,0,0,2,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,11,0,0,13,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
